timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618572514892,670,Add,200,OK,SOAP Request 1-1,text,true,,586,434,1,3,http://www.dneonline.com/calculator.asmx,670,0,344
1618572516164,313,Subtract,200,OK,SOAP Request 1-1,text,true,,605,447,1,3,http://www.dneonline.com/calculator.asmx,312,0,0
1618572516484,332,Multiply,200,OK,SOAP Request 1-1,text,true,,606,447,1,3,http://www.dneonline.com/calculator.asmx,332,0,0
1618572516820,304,Divide,200,OK,SOAP Request 1-1,text,true,,597,442,1,3,http://www.dneonline.com/calculator.asmx,304,0,0
1618572514960,2510,Post User,200,OK,API Testing 2-2,text,true,,387,392,2,2,https://petstore.swagger.io/v2/user,2507,0,2164
1618572514893,2578,Post User,200,OK,API Testing 2-1,text,true,,387,387,2,2,https://petstore.swagger.io/v2/user,2578,0,2245
1618572517534,307,Get Login,200,OK,API Testing 2-2,text,true,,482,203,2,2,https://petstore.swagger.io/v2/user/login?username=Deepthi04&password=dpr04,307,0,0
1618572517534,317,Get Login,200,OK,API Testing 2-1,text,true,,482,201,2,2,https://petstore.swagger.io/v2/user/login?username=Varshi18&password=sv18,317,0,0
1618572517842,322,Get Logout,200,OK,API Testing 2-2,text,true,,381,170,2,2,https://petstore.swagger.io/v2/user/logout,322,0,0
1618572517854,333,Get Logout,200,OK,API Testing 2-1,text,true,,381,170,1,1,https://petstore.swagger.io/v2/user/logout,330,0,0
